"ID","State","MakeArt","Age","Female","White","Black","Asian","Hispanic","Education","Income","HHUnder18"
2104,"IN",0,5,0,1,0,0,0,4,17,0
2107,"CA",0,4,1,1,0,0,0,3,3,0
2109,"VA",1,5,1,1,0,0,0,4,15,0
2112,"KS",0,3,1,1,0,0,0,4,4,1
2117,"LA",0,5,1,0,1,0,0,3,8,4
2118,"IL",1,1,0,1,0,0,0,3,3,2
2119,"RI",0,3,1,1,0,0,0,3,8,1
2122,"FL",1,3,1,1,0,0,0,3,12,0
2123,"NY",1,4,0,1,0,0,0,4,10,0
2126,"NC",0,6,1,1,0,0,0,4,14,0
2129,"FL",0,5,1,1,0,0,0,4,13,0
2131,"OH",0,2,1,0,0,0,0,3,8,2
2134,"FL",0,5,1,1,0,0,0,1,5,0
2146,"FL",0,6,0,1,0,0,0,4,8,0
2151,"FL",0,7,0,1,0,0,0,3,8,0
2157,"VA",0,3,0,1,0,0,0,4,15,2
2165,"NY",0,5,0,0,1,0,0,4,10,0
2169,"OK",0,1,1,1,0,0,0,4,9,0
2171,"MI",0,5,0,1,0,0,0,2,13,0
2173,"CO",0,6,0,1,0,0,0,2,11,0
2176,"VA",0,6,0,1,0,0,0,3,15,0
2181,"OH",0,3,1,0,0,0,0,4,7,2
2189,"IL",1,5,1,1,0,0,0,2,12,2
2191,"FL",0,5,1,0,1,0,0,4,4,0
2195,"WI",1,5,1,0,0,0,0,3,1,0
2200,"MS",0,6,0,0,1,0,0,4,10,0
2201,"WI",0,6,0,1,0,0,0,4,11,0
2202,"IL",0,6,1,0,0,0,0,2,3,0
2203,"LA",1,6,1,1,0,0,0,3,10,0
2204,"KS",0,3,1,1,0,0,0,4,11,3
2206,"IL",0,6,1,1,0,0,0,3,9,0
2207,"LA",1,2,1,1,0,0,0,3,11,0
2215,"CT",0,3,1,0,1,0,0,4,10,2
2216,"IL",1,5,0,1,0,0,0,4,16,0
2220,"WI",0,4,1,1,0,0,0,4,13,0
2222,"CA",0,2,1,0,0,1,0,4,10,0
2243,"KY",0,6,0,1,0,0,0,4,8,0
2246,"TX",NA,6,1,1,0,0,0,3,6,0
2250,"MA",0,5,0,1,0,0,0,3,12,0
2265,"PA",0,5,1,1,0,0,0,4,12,0
2268,"MI",0,4,1,1,0,0,0,3,13,4
2270,"TX",0,5,1,0,1,0,0,3,6,0
2272,"TX",0,4,0,0,0,0,0,3,13,0
2275,"IL",1,6,1,1,0,0,0,3,18,0
2276,"WY",1,2,1,1,0,0,0,4,9,0
2293,"FL",0,4,1,1,0,0,0,2,5,0
