bill_id,people_id,name,chamber,district,party,sponsor
1136628,13010,Judy Schwank,Sen,SD-011,D,0
1136628,18516,Sharif Street,Sen,SD-003,D,0
1136628,11539,John Blake,Sen,SD-022,D,0
1136628,16957,Arthur Haywood,Sen,SD-004,D,0
1136628,21372,Doug Mastriano,Sen,SD-033,R,0
1136628,17529,Judith Ward,Sen,SD-030,R,0
1136628,466,Lisa Boscola,Sen,SD-018,D,0
1136628,20816,Katie Muth,Sen,SD-044,D,0
1136629,17529,Judith Ward,Sen,SD-030,R,0
1136629,896,Richard Alloway,Sen,SD-033,R,0
1136629,11213,James Brewster,Sen,SD-045,D,0
1136629,18516,Sharif Street,Sen,SD-003,D,0
1136629,902,Elder Vogel,Sen,SD-047,R,0
1136629,476,Michael Folmer,Sen,SD-048,R,0
1136629,11539,John Blake,Sen,SD-022,D,0
1136629,470,Jay Costa,Sen,SD-043,D,1
1136629,898,Lawrence Farnese,Sen,SD-001,D,0
1136629,467,Patrick Browne,Sen,SD-016,R,0
1136629,419,John Sabatina,Sen,SD-005,D,0
1136629,339,Scott Hutchinson,Sen,SD-021,R,0
1136629,469,Jacob Corman,Sen,SD-034,R,1
1136629,347,Thomas Killion,Sen,SD-009,R,0
1136629,903,Kim Ward,Sen,SD-039,R,0
1136629,471,Andrew Dinniman,Sen,SD-019,D,0
1136629,465,Lisa Baker,Sen,SD-020,R,0
1136629,277,Michele Brooks,Sen,SD-050,R,0
1136629,479,John Gordner,Sen,SD-027,R,0
1136629,511,Anthony Williams,Sen,SD-008,D,0
1136629,504,Robert Tomlinson,Sen,SD-006,R,0
1136629,21357,Pam Iovino,Sen,SD-037,D,0
1136629,21535,Dave Arnold,Sen,SD-048,R,0
1136629,16957,Arthur Haywood,Sen,SD-004,D,0
1136629,500,Joseph Scarnati,Sen,SD-025,R,0
1136629,14166,Michael Regan,Sen,SD-031,R,0
1136629,16869,Patrick Stefano,Sen,SD-032,R,0
1136629,18900,Daniel Laughlin,Sen,SD-049,R,0
1136629,11527,Ryan Aument,Sen,SD-036,R,0
1136629,931,Steven Santarsiero,Sen,SD-010,D,0
1136629,20815,Timothy Kearney,Sen,SD-026,D,0
1136629,353,Daylin Leach,Sen,SD-017,D,0
1136629,21371,Joe Pittman,Sen,SD-041,R,0
1136629,18946,Scott Martin,Sen,SD-013,R,0
1136629,508,Donald White,Sen,SD-041,R,0
1136629,934,Gene Yaw,Sen,SD-023,R,0
1136629,372,Robert Mensch,Sen,SD-024,R,0
1136629,20563,Maria Collett,Sen,SD-012,D,0
1136629,20816,Katie Muth,Sen,SD-044,D,0
1136629,477,Wayne Fontana,Sen,SD-042,D,0
1136629,262,David Argall,Sen,SD-029,R,0
1136629,21372,Doug Mastriano,Sen,SD-033,R,0
1136629,466,Lisa Boscola,Sen,SD-018,D,0
1136629,13010,Judy Schwank,Sen,SD-011,D,0
1136629,16956,Camera Bartolotta,Sen,SD-046,R,0
1136629,424,Mario Scavello,Sen,SD-040,R,0
1136629,18795,Wayne Langerholc,Sen,SD-035,R,0
1136629,463,John Yudichak,Sen,SD-014,D,0
1136629,503,Christine Tartaglione,Sen,SD-002,D,0
1136629,20817,Lindsey Williams,Sen,SD-038,D,0
1136629,481,Vincent Hughes,Sen,SD-007,D,0
1136629,19038,Giovanni DiSanto,Sen,SD-015,R,0
1136629,16870,Kristin Phillips-Hill,Sen,SD-028,R,0
1148295,16869,Patrick Stefano,Sen,SD-032,R,0
1148295,21371,Joe Pittman,Sen,SD-041,R,0
1148295,898,Lawrence Farnese,Sen,SD-001,D,0
1148295,20817,Lindsey Williams,Sen,SD-038,D,0
1148295,21535,Dave Arnold,Sen,SD-048,R,0
1148295,463,John Yudichak,Sen,SD-014,D,0
1148295,479,John Gordner,Sen,SD-027,R,0
1148295,339,Scott Hutchinson,Sen,SD-021,R,0
1148295,467,Patrick Browne,Sen,SD-016,R,0
1148295,471,Andrew Dinniman,Sen,SD-019,D,0
1148295,16870,Kristin Phillips-Hill,Sen,SD-028,R,0
1148295,503,Christine Tartaglione,Sen,SD-002,D,0
1148295,11527,Ryan Aument,Sen,SD-036,R,0
1148295,11213,James Brewster,Sen,SD-045,D,0
1148295,11539,John Blake,Sen,SD-022,D,0
1148295,469,Jacob Corman,Sen,SD-034,R,0
1148295,18516,Sharif Street,Sen,SD-003,D,0
1148295,353,Daylin Leach,Sen,SD-017,D,0
1148295,372,Robert Mensch,Sen,SD-024,R,0
1148295,424,Mario Scavello,Sen,SD-040,R,0
1148295,21357,Pam Iovino,Sen,SD-037,D,0
1148295,419,John Sabatina,Sen,SD-005,D,0
1148295,500,Joseph Scarnati,Sen,SD-025,R,0
1148295,277,Michele Brooks,Sen,SD-050,R,0
1148295,511,Anthony Williams,Sen,SD-008,D,0
1148295,20815,Timothy Kearney,Sen,SD-026,D,0
1148295,903,Kim Ward,Sen,SD-039,R,1
1148295,508,Donald White,Sen,SD-041,R,0
1148295,17529,Judith Ward,Sen,SD-030,R,0
1148295,18795,Wayne Langerholc,Sen,SD-035,R,0
1148295,21372,Doug Mastriano,Sen,SD-033,R,0
1148295,902,Elder Vogel,Sen,SD-047,R,0
1148295,476,Michael Folmer,Sen,SD-048,R,0
1148295,477,Wayne Fontana,Sen,SD-042,D,0
1148295,465,Lisa Baker,Sen,SD-020,R,0
1148295,466,Lisa Boscola,Sen,SD-018,D,0
1148295,18946,Scott Martin,Sen,SD-013,R,0
1148295,262,David Argall,Sen,SD-029,R,0
1148295,16957,Arthur Haywood,Sen,SD-004,D,0
1148295,19038,Giovanni DiSanto,Sen,SD-015,R,0
1148295,896,Richard Alloway,Sen,SD-033,R,0
1148295,347,Thomas Killion,Sen,SD-009,R,0
1148295,18900,Daniel Laughlin,Sen,SD-049,R,0
1148295,470,Jay Costa,Sen,SD-043,D,0
1148295,20816,Katie Muth,Sen,SD-044,D,0
1148295,481,Vincent Hughes,Sen,SD-007,D,0
1148295,16956,Camera Bartolotta,Sen,SD-046,R,0
1148295,20563,Maria Collett,Sen,SD-012,D,0
1148295,13010,Judy Schwank,Sen,SD-011,D,0
1148295,934,Gene Yaw,Sen,SD-023,R,0
1148295,14166,Michael Regan,Sen,SD-031,R,0
1148295,504,Robert Tomlinson,Sen,SD-006,R,0
1148295,931,Steven Santarsiero,Sen,SD-010,D,0
1154930,21535,Dave Arnold,Sen,SD-048,R,0
1154930,11213,James Brewster,Sen,SD-045,D,1
1154930,18900,Daniel Laughlin,Sen,SD-049,R,0
